Dataset  MJD              BJD_TDB          Phase        dRV(km/s)      RV_err(km/s)
ESI       59824.56476489   59824.56534985   0.502232       4.03          8.26
ESI       59824.56886142   59824.56944679   0.570320     -25.42          7.95
ESI       59824.57296976   59824.57355554   0.638604     -33.74          7.75
ESI       59824.58118642   59824.58177301   0.775172     -12.63          7.47
ESI       59824.58531246   59824.58589946   0.843750      -9.03          7.74
ESI       59824.58943260   59824.59002001   0.912231       2.79          7.98
ESI       59824.59355864   59824.59414646   0.980809      13.20          7.60
ESI       59824.59766698   59824.59825521   0.049093       7.41          8.03
ESI       59824.60179892   59824.60238756   0.117770      18.21          8.06
ESI       59824.60594267   59824.60653172   0.186642      30.96          8.26
ESI       59824.61007462   59824.61066408   0.255319      25.79          7.87
ESI       59824.61417253   59824.61476239   0.323430       8.96          8.01
ESI       59824.61827357   59824.61886384   0.391593      -3.04          7.49
ESI       59824.62242913   59824.62301981   0.460662      -6.30          7.68
LRIS      59612.39954010   59612.40306472   0.245324      -4.36         20.03
LRIS      59612.40345910   59612.40698337   0.310449     -30.29         21.00
LRIS      59612.40737810   59612.41090202   0.375574     -22.18         12.25
LRIS      59612.41131010   59612.41483367   0.440915     -35.71         10.65
LRIS      59612.41522910   59612.41875232   0.506040     -18.85         13.14
LRIS      59612.41914910   59612.42267197   0.571181     -24.04         12.14
LRIS      59612.42306810   59612.42659062   0.636306      11.93         12.84
LRIS      59612.42698710   59612.43050927   0.701431       7.32         16.83
LRIS      59612.43090710   59612.43442892   0.766572      -5.89         36.07
LRIS      59612.43482610   59612.43834757   0.831697      33.18         13.11
LRIS      59612.43874610   59612.44226722   0.896839     -17.37         26.60
LRIS      59612.44265310   59612.44617387   0.961764      22.70         11.37
LRIS      59612.44658510   59612.45010552   0.027105      10.57         15.16
LRIS      59612.45050410   59612.45402417   0.092230      12.77         10.26
LRIS      59612.45448310   59612.45800281   0.158352      21.62         14.92
LRIS      59612.45840210   59612.46192146   0.223477     -25.19         29.55
