Frame   MJDMID           BJD_TDB            Phase    dRV(km/s)  err(km/s)
0059    61152.30009860   2461152.80369878   0.2554    10.29     16.83
0060    61152.30539960   2461152.80899970   0.3691    10.86     15.17
0062    61152.31263660   2461152.81623658   0.5243    -2.34     12.21
0063    61152.31793660   2461152.82153650   0.6379   -10.61     11.56
0064    61152.32323760   2461152.82683741   0.7516   -13.76      8.58
0065    61152.32852660   2461152.83212633   0.8650     9.94     16.26
0066    61152.33382760   2461152.83742724   0.9786    16.99     11.18
0067    61152.33912860   2461152.84272816   0.0923    15.58     12.43
0068    61152.34442860   2461152.84802807   0.2059     2.09     15.68
0069    61152.34972960   2461152.85332899   0.3196     2.02     12.56
0070    61152.35503060   2461152.85862990   0.4332   -14.71     12.80
0071    61152.36033060   2461152.86392982   0.5469    -1.95     13.56
0072    61152.36561960   2461152.86921873   0.6603    15.88     13.78
0073    61152.37092060   2461152.87451964   0.7739    -7.29     10.38
0074    61152.37622160   2461152.87982056   0.8876    -8.13     16.61
0075    61152.38152160   2461152.88512047   0.0012    14.85     12.31
0076    61152.38682260   2461152.89042138   0.1149    -5.26     16.16
0077    61152.39212360   2461152.89572230   0.2285   -13.65     16.15
0078    61152.39742360   2461152.90102221   0.3422     8.48     16.13
0079    61152.40272460   2461152.90632312   0.4558   -34.50     16.66
